Crypto;Symbol;Quantity;Current_Price;Price_Buy
USDT;USDT;1500.0;;0.0
Avalanche;AVAXUSDT;2.2;45.56;45.75
Cardano;ADAUSDT;0.0;0.6172;0.6491
Audius;AUDIOUSDT;0.0;0.2268;0.0
Bitcoin;BTCUSDT;0.0;43691.94;0.0
MultiversX;EGLDUSDT;0.0;60.33;0.0
Holo;HOTUSDT;0.0;0.002224;0.0
Ethereum Classic;ETCUSDT;0.0;21.42;0.0
Fetch.ai;FETUSDT;138.0;0.7402;0.7235
Injective;INJUSDT;2.4;39.297;41.314
OmiseGO;OMGUSDT;122.2;0.826;0.819
Harmony;ONEUSDT;6142.5;0.01626;0.01635
Thorchain;RUNEUSDT;0.0;5.471;0.0
Oasis Network;ROSEUSDT;925.7;0.11962;0.1076
Cartesi;CTSIUSDT;541.0;0.1911;0.1816
Solana;SOLUSDT;1.09;93.99;91.86
