Crypto;Symbol;Quantity;Current_Price;Price_Buy;Quantity_USDT;Stop_Loss
USDT;USDT;1500.0;;0.0;1500.0;0.0
Avalanche;AVAXUSDT;0.0;39.28;57.15;180.56;0.0
Cardano;ADAUSDT;0.0;0.5207;0.6784;167.09;0.0
Audius;AUDIOUSDT;615.09976822;0.1991;0.311;-0.05;0.2488
Bitcoin;BTCUSDT;0.0;66702.58;63338.9;205.98;0.0
MultiversX;EGLDUSDT;0.0;44.83;62.4;148.9;0.0
Holo;HOTUSDT;0.0;0.00265;0.00224;188.11;0.0
Ethereum;ETHUSDT;0.0;3207.45;2497.6;203.59;0.0
Fetch.ai;FETUSDT;0.0;2.4606;3.1681;126.84;0.0
Injective;INJUSDT;0.0;28.6;51.1;125.47;0.0
OmiseGO;OMGUSDT;0.0;0.71;1.176;196.85;0.0
Harmony;ONEUSDT;0.0;0.02253;0.03381;169.42;0.0
Thorchain;RUNEUSDT;0.0;5.711;9.26;190.42;0.0
Oasis Network;ROSEUSDT;0.0;0.10464;0.17223;163.64;0.0
Cartesi;CTSIUSDT;0.0;0.2195;0.3902;156.19;0.0
Solana;SOLUSDT;1.03974682;156.43;195.94;0.67;156.752
