Crypto;Symbol;Quantity;Current_Price;Price_Buy;Quantity_USDT
USDT;USDT;250.0;;0.0;250.0
Avalanche;AVAXUSDT;0.0;46.31;0.0;16.666666666666668
Cardano;ADAUSDT;0.0;0.5804;0.0;16.666666666666668
Audius;AUDIOUSDT;53.4465;0.2708;0.311;0.04
Bitcoin;BTCUSDT;0.0;67738.0;0.0;16.666666666666668
MultiversX;EGLDUSDT;0.0;54.3;0.0;16.666666666666668
Holo;HOTUSDT;0.0;0.002974;0.0;16.666666666666668
Ethereum;ETHUSDT;0.0;3339.12;0.0;16.666666666666668
Fetch.ai;FETUSDT;1.998;2.6522;3.168;2.26
Injective;INJUSDT;0.0;34.06;51.08;8.62
OmiseGO;OMGUSDT;0.0;0.953;1.176;14.04
Harmony;ONEUSDT;0.0;0.02799;0.03381;14.06
Thorchain;RUNEUSDT;0.0;7.456;9.259;12.97
Oasis Network;ROSEUSDT;0.0;0.12945;0.1722;14.17
Cartesi;CTSIUSDT;0.0;0.275;0.0;16.666666666666668
Solana;SOLUSDT;0.06993;175.94;195.93;0.14
